iter	Passed	Remaining
1306	5739	16218
1307	5744	16215
1308	5749	16213
1309	5754	16208
1310	5758	16204
1311	5763	16199
1312	5768	16197
1313	5771	16191
1314	5775	16185
1315	5779	16179
1316	5784	16176
1317	5788	16172
1318	5792	16166
1319	5796	16161
1320	5801	16155
1321	5804	16150
1322	5809	16145
1323	5813	16141
1324	5817	16136
1325	5821	16130
1326	5825	16125
1327	5829	16119
1328	5833	16114
1329	5837	16108
1330	5841	16102
1331	5846	16098
1332	5850	16093
1333	5854	16088
1334	5858	16082
1335	5862	16078
1336	5867	16074
1337	5871	16069
1338	5875	16065
1339	5880	16061
1340	5884	16055
1341	5888	16050
1342	5892	16045
1343	5896	16040
1344	5901	16037
1345	5905	16032
1346	5909	16026
1347	5913	16021
1348	5917	16016
1349	5922	16012
1350	5926	16007
1351	5930	16002
1352	5934	15996
1353	5939	15992
1354	5943	15989
1355	5948	15986
1356	5952	15980
1357	5957	15977
1358	5962	15973
1359	5967	15970
1360	5971	15966
1361	5976	15962
1362	5980	15958
1363	5984	15953
1364	5988	15947
1365	5993	15943
1366	5997	15939
1367	6001	15934
1368	6006	15930
1369	6010	15926
1370	6015	15922
1371	6019	15918
1372	6024	15914
1373	6028	15910
1374	6032	15904
1375	6037	15900
1376	6041	15896
1377	6046	15892
1378	6050	15887
1379	6055	15883
1380	6059	15880
1381	6063	15875
1382	6068	15870
1383	6073	15868
1384	6077	15863
1385	6082	15859
1386	6086	15855
1387	6091	15851
1388	6095	15846
1389	6099	15842
1390	6104	15837
1391	6108	15833
1392	6112	15827
1393	6117	15823
1394	6121	15820
1395	6126	15815
1396	6130	15811
1397	6135	15807
1398	6140	15804
1399	6144	15801
1400	6149	15797
1401	6154	15794
1402	6159	15790
1403	6163	15786
1404	6167	15781
1405	6172	15777
1406	6176	15773
1407	6181	15769
1408	6186	15765
1409	6190	15761
1410	6195	15758
1411	6199	15753
1412	6204	15750
1413	6208	15746
1414	6212	15740
1415	6217	15736
1416	6221	15732
1417	6226	15728
1418	6230	15723
1419	6235	15719
1420	6239	15714
1421	6243	15709
1422	6247	15705
1423	6253	15703
1424	6257	15697
1425	6261	15693
1426	6265	15687
1427	6270	15684
1428	6274	15678
1429	6277	15672
1430	6282	15668
1431	6286	15664
1432	6291	15660
1433	6296	15658
1434	6301	15655
1435	6305	15650
1436	6311	15648
1437	6315	15644
1438	6321	15642
1439	6326	15639
1440	6330	15636
1441	6335	15632
1442	6339	15627
1443	6345	15625
1444	6349	15621
1445	6353	15615
1446	6358	15611
1447	6363	15609
1448	6367	15605
1449	6372	15600
1450	6376	15597
1451	6381	15592
1452	6385	15587
1453	6389	15582
1454	6394	15578
1455	6398	15575
1456	6404	15572
1457	6409	15570
1458	6413	15566
1459	6418	15562
1460	6423	15560
1461	6428	15556
1462	6432	15551
1463	6436	15546
1464	6442	15544
1465	6446	15541
1466	6451	15536
1467	6456	15533
1468	6460	15528
1469	6464	15524
1470	6468	15519
1471	6473	15516
1472	6478	15512
1473	6482	15506
1474	6486	15502
1475	6491	15497
1476	6495	15492
1477	6498	15486
1478	6503	15482
1479	6508	15479
1480	6512	15474
1481	6516	15469
1482	6520	15464
1483	6524	15458
1484	6528	15453
1485	6533	15449
1486	6537	15444
1487	6541	15440
1488	6546	15435
1489	6562	15458
1490	6566	15453
1491	6571	15450
1492	6575	15445
1493	6579	15441
1494	6584	15436
1495	6588	15432
1496	6592	15426
1497	6596	15421
1498	6600	15416
1499	6605	15412
1500	6609	15407
1501	6613	15403
1502	6618	15398
1503	6622	15394
1504	6626	15389
1505	6630	15383
1506	6636	15381
1507	6640	15377
1508	6644	15372
1509	6648	15366
1510	6652	15361
1511	6656	15355
1512	6660	15350
1513	6664	15344
1514	6668	15340
1515	6673	15335
1516	6676	15329
1517	6680	15323
1518	6685	15320
1519	6689	15315
1520	6694	15311
1521	6699	15309
1522	6703	15304
1523	6707	15299
1524	6711	15294
